Tipo de d’a,Sentido,Parada,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Laborable,Ida,[34] Boulevard 17 (L5-25),3,,,,,,17,50,71,45,43,41,46,45,44,39,31,38,32,44,39,41,15,8
Laborable,Ida,[35] Londres (L5-25-33-40),2,,,,,,6,21,37,25,27,28,29,36,31,21,23,26,28,35,23,15,17,1
Laborable,Ida,[36] La Perla,0,,,,,,1,3,6,4,4,3,6,6,4,7,5,4,3,6,3,2,1,0
Laborable,Ida,[239] Zumalakarregi 10(L25-33-35-40),0,,,,,,3,3,3,1,2,3,6,2,1,3,2,3,4,3,1,0,0,
Laborable,Ida,[240] Antig Anbul (L25-27-33-35-40),0,,,,,,1,1,3,3,4,5,7,8,4,5,3,5,5,4,2,1,1,
Laborable,Ida,[241] Magisterio  (L25-27-33-35-40),,,,,,,,2,1,5,2,2,4,3,3,2,6,3,4,3,3,1,0,
Laborable,Ida,[277] Unibertsitatea Tol.70 I,,,,,,,,1,2,1,2,1,4,5,11,5,10,4,4,2,3,1,0,
Laborable,Ida,[278] Tolosa 112,,,,,,,0,0,1,1,1,1,1,1,2,1,2,1,1,1,2,0,1,
Laborable,Ida,[50] Tolosa 138,,,,,,,2,0,0,1,1,0,1,1,1,1,2,2,2,2,1,0,0,0
Laborable,Ida,[279] Infierno,,,,,,,,,,0,0,0,,,0,,,,,,,,,
Laborable,Ida,[353] A–orga Txiki I,,,,,,,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,,,
Laborable,Ida,[354] A–orga I,,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,,,
Laborable,Ida,[355] Cincuentenario I,,,,,,,,,,,0,14,1,1,2,1,1,1,1,1,1,1,,
Laborable,Ida,[356] Errekalde Topo,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,,,,
Laborable,Ida,[358] Irubide ,,,,,,,,0,0,0,1,0,,0,0,,0,0,0,0,0,,,
Laborable,Ida,[359] Belartza 2,,,,,,,,,,0,0,0,1,0,0,1,1,0,1,2,1,0,0,
Laborable,Ida,[360] Rotonda Belartza,,,,,,,,4,7,4,2,3,5,7,8,7,6,5,7,4,1,0,,
Laborable,Ida,[361] Belartza,,,,,,,,,,0,0,2,2,2,2,2,2,5,6,5,2,1,0,
Laborable,Vuelta,[287] Errekalde II,,,,,,,,7,5,3,2,3,5,4,4,1,4,2,11,7,4,8,1,
Laborable,Vuelta,[362] Errekalde,,,,,,,0,6,7,5,5,2,2,1,3,3,4,4,5,2,1,0,,
Laborable,Vuelta,[363] Cincuentenario II,,,,,,,,,0,,0,,,1,,,,,,0,,0,,
Laborable,Vuelta,[364] A–orga II,,,,,,,0,37,22,20,18,12,6,9,10,9,15,17,14,10,7,2,0,0
Laborable,Vuelta,[365] A–orga Txiki II,,,,,,,0,0,0,0,1,0,0,,,0,0,1,0,,,,,
Laborable,Vuelta,[46] Amerika Plaza (L5-24-25),,,,,,,3,12,9,6,3,4,3,3,3,7,3,4,4,4,3,1,1,0
Laborable,Vuelta,[45] Tolosa 111 (L5-24-25),,,,,,,3,12,8,7,8,10,8,10,8,7,10,11,15,12,8,2,1,0
Laborable,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),,,,,,,1,10,6,6,9,11,18,25,17,14,15,17,23,22,10,3,2,1
Laborable,Vuelta,[43] Magisterio (L5-24-25-33-35-40),,,,,,,3,31,13,13,12,15,21,18,18,16,24,18,21,19,11,5,4,2
