Tipo de dia,Sentido,Parada,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Laborable,Ida,[34] Boulevard 17 (L5-25),4,,,,,,16,48,54,49,43,41,48,50,48,36,36,30,35,41,39,57,21,9
Laborable,Ida,[35] Londres (L5-25-33-40),2,,,,,,5,20,32,27,29,32,31,37,33,25,25,24,26,37,30,18,17,0
Laborable,Ida,[36] La Perla,0,,,,,,3,2,5,5,4,3,5,5,5,7,2,5,3,5,2,3,2,0
Laborable,Ida,[239] Zumalakarregi 10(L25-33-35-40),0,,,,,,3,2,3,2,2,2,5,2,3,3,2,3,4,5,2,0,0,0
Laborable,Ida,[240] Antig Anbul (L25-27-33-35-40),0,,,,,,1,1,4,3,4,6,7,8,4,4,4,6,5,5,3,2,1,
Laborable,Ida,[241] Magisterio  (L25-27-33-35-40),0,,,,,,0,2,1,1,1,2,4,4,4,1,8,4,4,3,2,1,0,
Laborable,Ida,[277] Unibertsitatea Tol.70 I,,,,,,,,1,2,1,3,2,2,6,11,5,10,5,4,2,2,2,0,
Laborable,Ida,[278] Tolosa 112,,,,,,,,0,1,1,0,1,1,1,1,1,1,2,2,1,2,0,0,
Laborable,Ida,[50] Tolosa 138,0,,,,,,2,0,0,0,1,0,0,1,1,1,3,2,2,1,1,0,1,
Laborable,Ida,[279] Infierno,,,,,,,,,,,,,0,,,,0,,0,0,,,,
Laborable,Ida,[353] A–orga Txiki I,0,,,,,,0,,,0,0,0,0,0,0,1,0,0,0,0,,0,,
Laborable,Ida,[354] A–orga I,,,,,,,,1,,0,,0,,,,0,,1,0,0,0,,,
Laborable,Ida,[355] Cincuentenario I,,,,,,,0,,,,,,,,0,,,,,,,,,
Laborable,Ida,[356] Errekalde Topo,,,,,,,,,,0,0,0,,0,1,0,0,,0,0,,,,
Laborable,Ida,[358] Irubide ,,,,,,,,,0,0,1,0,0,,0,0,0,0,0,,0,,0,
Laborable,Ida,[359] Belartza 2,,,,,,,,,,,0,0,1,0,0,1,0,0,1,1,1,0,0,
Laborable,Ida,[360] Rotonda Belartza,,,,,,,1,4,6,5,3,3,4,7,7,8,6,6,7,5,1,1,0,
Laborable,Ida,[361] Belartza,,,,,,,,0,0,0,1,2,3,4,2,2,2,4,6,5,2,2,0,
Laborable,Vuelta,[287] Errekalde II,,,,,,,0,3,0,0,0,1,4,2,1,3,1,1,3,3,1,5,,1
Laborable,Vuelta,[362] Errekalde,,,,,,,,5,6,6,5,3,2,2,1,2,4,4,3,2,1,0,,
Laborable,Vuelta,[363] Cincuentenario II,,,,,,,,0,0,,0,0,0,0,,,0,0,0,,0,,,
Laborable,Vuelta,[364] A–orga II,,,,,,,0,34,19,21,18,14,7,10,9,8,17,19,16,8,7,3,1,0
Laborable,Vuelta,[365] A–orga Txiki II,,,,,,,0,0,1,2,0,0,0,0,0,0,0,1,0,,0,,,
Laborable,Vuelta,[46] Amerika Plaza (L5-24-25),,,,,,,3,9,8,6,4,4,3,3,4,7,4,5,4,4,4,2,1,1
Laborable,Vuelta,[45] Tolosa 111 (L5-24-25),,,,,,,2,8,7,9,9,9,7,7,7,9,11,11,13,11,7,4,2,0
Laborable,Vuelta,[44] Unibertsitatea Tol.77 (L5-25),,,,,,,0,8,6,7,9,12,14,20,15,13,21,21,22,19,9,4,2,0
Laborable,Vuelta,[43] Magisterio (L5-24-25-33-35-40),,,,,,,4,27,15,14,14,17,15,18,14,18,25,24,18,16,12,7,4,2
Laborable,Vuelta,[42] Zumalaka.21(L5-24-25-33-35-40),,,,,,,2,19,10,11,13,11,8,9,8,12,10,11,10,9,9,5,3,1
Laborable,Vuelta,[41] Esklabak (L5-25-35),,,,,,,1,13,10,12,8,9,9,7,8,9,9,10,9,9,5,4,4,1
Laborable,Vuelta,[40] Ondarreta (L5-25 ),,,,,,,2,10,5,7,6,9,6,7,4,6,6,9,7,10,5,5,3,0
Laborable,Vuelta,[39] San Martin 57,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
Laborable,Vuelta,[38] B.Pastor(L5-16-18-25-31-33-40),,,,,,,,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,,0
Laborable,Vuelta,[37] Okendo 5,,,,,,,,0,1,1,1,1,2,2,1,1,2,2,2,2,2,2,0,
Sabado,Ida,[34] Boulevard 17 (L5-25),36,,,,,,1,16,11,17,29,46,91,68,33,65,34,25,54,25,109,62,40,65
Sabado,Ida,[35] Londres (L5-25-33-40),12,,,,,,,2,5,4,11,14,17,38,22,17,11,20,18,28,19,19,19,15
Sabado,Ida,[36] La Perla,4,,,,,,,1,1,2,0,3,1,6,5,2,3,3,1,5,2,3,5,1
Sabado,Ida,[239] Zumalakarregi 10(L25-33-35-40),,,,,,,,,,0,1,3,1,1,1,1,1,,1,2,2,3,,0
Sabado,Ida,[240] Antig Anbul (L25-27-33-35-40),,,,,,,,0,0,1,2,5,3,1,2,2,2,1,2,0,1,0,0,0
Sabado,Ida,[241] Magisterio  (L25-27-33-35-40),0,,,,,,,,,0,2,2,1,1,3,0,1,1,0,2,1,1,0,1
Sabado,Ida,[277] Unibertsitatea Tol.70 I,,,,,,,,,,,1,1,0,2,1,0,0,0,1,0,0,0,2,
Sabado,Ida,[278] Tolosa 112,,,,,,,,,,,0,0,1,1,0,0,1,1,1,,,0,0,1
Sabado,Ida,[50] Tolosa 138,1,,,,,,,,,,,0,0,1,,1,0,0,1,1,1,,0,0
Sabado,Ida,[353] A–orga Txiki I,,,,,,,,,29,,,9,,0,,,,0,,0,,,,
Sabado,Ida,[354] A–orga I,,,,,,,,,,,,,0,,,,,0,,0,,,,
Sabado,Ida,[355] Cincuentenario I,2,,,,,,,,,,,,,,,,,,,,,,,
